LBM 100E,LBM 90E,LBM 80E,LBM 70E,LBM 60E,LBM 50E,LBM 40E,LBM 30E,LBM 20E,LBM 10E,LBM 100F
0.457422042,0.517991619,0.579439462,0.641662395,0.704572791,0.768095754,0.832166886,0.89673051,0.961738241,1.027147833,1.092922233
0.431930416,0.494679341,0.558597558,0.623511199,0.689279238,0.755786088,0.822936113,0.890649498,0.958859111,1.027508079,1.0965479
0.39502261,0.463090355,0.532327208,0.602502514,0.673442547,0.745013969,0.817112738,0.889656481,0.962579132,1.035827086,1.109356395
0.355013325,0.428315764,0.501618202,0.574920641,0.64822308,0.721525518,0.794827957,0.868130396,0.941432834,1.014735273,1.088037712
0.301192161,0.369847236,0.440979654,0.514721427,0.591214121,0.670609728,0.753071648,0.838775779,0.927911735,1.020684209,1.117314505
0.484518235,0.571689455,0.654178932,0.731856811,0.804588388,0.872233883,0.934648199,0.991680669,1.043174782,1.088967899,1.128890951
0.763228024,0.87732195,0.975714573,1.058026775,1.12386713,1.172831408,1.204502038,1.218447563,1.21422205,1.191364484,1.149398118
1.026593679,1.139935396,1.226140581,1.287477761,1.325969463,1.343424678,1.34146632,1.321554547,1.285006669,1.233014199,1.166657517
0.795826617,0.901545796,0.990006639,1.062244164,1.119212247,1.161791424,1.190795801,1.206979211,1.21104068,1.20362933,1.185348745
0.826190462,0.925570436,1.006548257,1.07103219,1.12067547,1.15691753,1.18101748,1.194081487,1.197085316,1.190892989,1.176272341
1.008377567,1.101088341,1.170125496,1.219421901,1.252084983,1.27060249,1.276989627,1.272896162,1.259685676,1.238495035,1.210279631
1.013288494,1.108613314,1.179604261,1.230061747,1.263033957,1.280994186,1.28597027,1.279640552,1.263406062,1.238445526,1.205757771
0.812682323,0.90350088,0.977568618,1.037425474,1.085122583,1.122334463,1.150441664,1.170592561,1.183750197,1.190728218,1.19221876
1.012496016,1.093053994,1.151675477,1.192851963,1.21992711,1.235441392,1.241359605,1.239225186,1.230267418,1.215477489,1.195663477
1.871888594,1.884557119,1.863080785,1.817372143,1.753845351,1.67683438,1.589373058,1.493648593,1.391277636,1.283480933,1.171197529
3.253693116,3.047124155,2.840555194,2.633986233,2.427417272,2.220848311,2.014279351,1.80771039,1.601141429,1.394572468,1.188003507
3.742975295,3.451639541,3.167647894,2.890986535,2.621641682,2.359599586,2.104846533,1.857368843,1.61715287,1.384185003,1.158451665
2.207998175,2.123276072,2.034430401,1.941041107,1.842629077,1.738645381,1.628458076,1.511335895,1.386427942,1.252738173,1.109093083
1.600564273,1.560705688,1.519549213,1.476839921,1.432251443,1.385359059,1.335599635,1.282210225,1.224130837,1.159844268,1.087099802
1.446262648,1.426481666,1.404668784,1.380451477,1.353360231,1.322794777,1.287975167,1.24786911,1.201080938,1.145676281,1.078894403
1.537984513,1.51944874,1.496786094,1.469416718,1.436646786,1.397639053,1.351373781,1.29659615,1.231744371,1.154849708,1.06339469
1.833718833,1.783273902,1.728602959,1.66920022,1.604475836,1.533737665,1.456168104,1.370794298,1.276449468,1.171722044,1.054887923
1.868828724,1.806670651,1.740796702,1.670773286,1.596096618,1.516177921,1.430324718,1.337716938,1.237376124,1.12812524,1.008535613
2.141497766,2.043280904,1.942776573,1.839697251,1.733705125,1.624400585,1.511307426,1.393853562,1.271345626,1.142935023,1.007571922
2.505117991,2.361141211,2.215817867,2.069045288,1.920710092,1.770686752,1.618835928,1.465002509,1.309013322,1.150674418,0.989767867
2.29510874,2.178272721,2.059142744,1.937505162,1.813118948,1.685711162,1.554971489,1.420545615,1.282027146,1.138947667,0.990764446
1.500158825,1.464346273,1.426871802,1.387429994,1.34563571,1.300996265,1.252871067,1.200411616,1.142469704,1.077452271,1.003082861
1.00657953,1.005449541,1.004319553,1.003189565,1.002059576,1.000929588,0.9997996,0.998669611,0.997539623,0.996409634,0.995279646
0.867481154,0.879294498,0.891466042,0.904012314,0.916950874,0.930300398,0.944080763,0.958313153,0.973020161,0.988225913,1.003956198
0.826418768,0.846416032,0.866569854,0.886882532,0.90735641,0.927993877,0.948797371,0.96976938,0.990912438,1.012229134,1.033722107
0.787107183,0.807517607,0.828573235,0.850306126,0.872750495,0.895942906,0.919922467,0.944731063,0.970413605,0.997018306,1.024596994
0.899027529,0.908419526,0.917813224,0.927208628,0.936605747,0.946004585,0.95540515,0.964807446,0.974211481,0.983617262,0.993024793
0.983615747,0.988006281,0.992260004,0.996381517,1.000375217,1.00424531,1.007995816,1.011630586,1.015153305,1.018567505,1.021876569
0.982502981,0.98676433,0.99099847,0.995205515,0.99938558,1.00353878,1.007665228,1.011765036,1.015838316,1.01988518,1.023905738
0.969697157,0.979618918,0.98959746,0.999633416,1.009727431,1.019880157,1.030092257,1.040364402,1.050697277,1.061091575,1.071547999
0.755048779,0.779831756,0.805574037,0.832333936,0.860174591,0.889164474,0.919377966,0.950896006,0.983806837,1.018206841,1.054201504
0.723799009,0.752241646,0.781668654,0.812134065,0.843695939,0.876416748,0.9103638,0.945609719,0.982232978,1.020318503,1.059958348
0.680606402,0.712870246,0.746104573,0.780356225,0.815675104,0.852114433,0.889731033,0.928585633,0.968743211,1.010273374,1.053250778
0.76955978,0.793712404,0.818404207,0.843654693,0.869484318,0.895914546,0.92296792,0.950668121,0.979040048,1.008109893,1.037905229
0.875213758,0.88990127,0.904588781,0.919276292,0.933963804,0.948651315,0.963338826,0.978026338,0.992713849,1.00740136,1.022088872
0.924063679,0.93613268,0.948087057,0.959926752,0.971651712,0.983261879,0.994757198,1.006137614,1.017403071,1.028553512,1.039588883
1.23334396,1.2135276,1.193988516,1.174710715,1.155679411,1.136880913,1.118302525,1.099932458,1.081759751,1.063774197,1.045966282
1.196484658,1.183220478,1.169577393,1.155567376,1.141201904,1.126491978,1.111448152,1.096080551,1.080398896,1.064412523,1.048130401
1.248805843,1.233071289,1.216882997,1.200254649,1.183199385,1.165729824,1.147858094,1.129595853,1.110954315,1.091944267,1.07257609
1.393312595,1.359401396,1.325542163,1.291732338,1.257969528,1.224251491,1.190576128,1.156941467,1.123345657,1.089786955,1.056263724
1.369301343,1.341083237,1.311882703,1.281719644,1.250613424,1.218582894,1.185646406,1.151821828,1.117126561,1.081577555,1.045191324
1.438710753,1.403030778,1.366291986,1.328518119,1.289732215,1.249956633,1.209213079,1.167522629,1.12490575,1.081382326,1.036971673
1.703978947,1.639438626,1.574444349,1.509014705,1.443167283,1.376918737,1.310284846,1.243280575,1.175920121,1.108216967,1.040183921
1.904042636,1.813036209,1.723334465,1.634855191,1.547522935,1.461268332,1.376027499,1.291741503,1.208355895,1.125820285,1.044087978
2.063616771,1.94541366,1.831644319,1.721914987,1.615877186,1.513221399,1.413671769,1.316981644,1.222929816,1.131317319,1.041964702
1.68023936,1.613710305,1.54785194,1.482625355,1.417994593,1.353926376,1.290389858,1.227356406,1.16479941,1.102694102,1.041017402
1.721162179,1.653904641,1.586647104,1.519389566,1.452132029,1.384874491,1.317616954,1.250359416,1.183101879,1.115844341,1.048586804
1.636187806,1.57625226,1.516020825,1.45549007,1.39465651,1.333516609,1.272066772,1.210303351,1.148222636,1.085820863,1.023094206
1.599576843,1.542612518,1.485334476,1.42773043,1.369787444,1.311491887,1.252829388,1.193784784,1.134342065,1.074484315,1.014193645
1.558456122,1.506873722,1.454844831,1.40234571,1.349350909,1.295833106,1.241762935,1.187108788,1.131836599,1.0759096,1.019288048
1.557328198,1.506562249,1.455354518,1.403678552,1.351505744,1.298805107,1.245543024,1.19168296,1.13718514,1.082006182,1.026098678
1.565683943,1.512336568,1.458728973,1.404841077,1.350650677,1.296133163,1.24126118,1.186004236,1.130328237,1.074194943,1.017561313
1.509334667,1.463119917,1.41665233,1.369906777,1.322854685,1.275463427,1.227695575,1.179507981,1.130850648,1.081665308,1.03188364
1.456861143,1.413620865,1.370212153,1.326616147,1.282811067,1.238771616,1.194468246,1.149866226,1.104924448,1.059593898,1.013815658
1.372594554,1.335404321,1.298259172,1.261165303,1.224130105,1.187162457,1.150273125,1.113475294,1.076785281,1.040223532,1.003816008
1.369661322,1.331589282,1.293638188,1.255825723,1.218173193,1.180706507,1.143457488,1.106465666,1.069780759,1.033466181,0.997604111
1.363350412,1.322689949,1.282133982,1.241697871,1.201400142,1.161263343,1.121315205,1.081590219,1.042131828,1.002995533,0.964253392
1.367585067,1.327374377,1.287074022,1.246673129,1.206158988,1.165516657,1.124728443,1.083773237,1.042625656,1.001254895,0.959623201
1.266025142,1.235117466,1.20420979,1.173302114,1.142394438,1.111486762,1.080579086,1.04967141,1.018763735,0.987856059,0.956948383
1.174633745,1.15536312,1.135645377,1.115478785,1.094861607,1.073792092,1.052268484,1.030289016,1.007851913,0.98495539,0.961597652
1.185110837,1.164425231,1.143474312,1.122250718,1.100746808,1.078954656,1.056866031,1.034472389,1.011764853,0.988734197,0.965370831
1.103111919,1.091264484,1.07898407,1.066256302,1.053066164,1.039397958,1.025235268,1.01056092,0.995356932,0.97960447,0.963283799
0.882138571,0.894636103,0.906261346,0.916981114,0.926760519,0.935562856,0.943349483,0.950079696,0.955710584,0.960196882,0.963490805
0.723071142,0.750027376,0.776450019,0.802307182,0.827564384,0.852184281,0.876126363,0.899346616,0.921797127,0.94342565,0.9641751
0.629930984,0.665322714,0.700408183,0.735166173,0.769573458,0.803604565,0.83723149,0.870423381,0.903146164,0.93536211,0.967029331
