spx100e,spx90e,spx80e,spx70e,spx60e,spx50e,spx40e,spx30e,spx20e,spx10e,spx0e
0.730210231,0.767100444,0.804129372,0.841285681,0.878559243,0.915940972,0.9534227,0.990997061,1.028657393,1.06639766,1.104212377
0.683032713,0.724847736,0.766906814,0.809188729,0.851674653,0.894347822,0.937193259,0.980197542,1.02334861,1.066635592,1.110048664
0.624717676,0.669961347,0.715205017,0.760448688,0.805692359,0.85093603,0.896179701,0.941423372,0.986667043,1.031910714,1.077154384
0.583536532,0.630777348,0.678749363,0.727464742,0.776935922,0.827175618,0.878196834,0.930012867,0.982637319,1.036084102,1.09036745
0.55184357,0.599542309,0.648535511,0.698882894,0.750647907,0.803898027,0.858705081,0.915145602,0.973301226,1.03325912,1.095112458
0.523641044,0.572857162,0.623795802,0.676499599,0.731012604,0.787380349,0.845649906,0.905869953,0.968090844,1.032364681,1.098745391
0.462635573,0.516063548,0.572085861,0.630684894,0.691843192,0.755543455,0.821768539,0.890501454,0.961725362,1.035423575,1.111579554
0.414614001,0.47183848,0.531690702,0.594031228,0.658730316,0.725667086,0.794728781,0.865810097,0.938812572,1.013644042,1.090218148
0.360122708,0.417686466,0.479389432,0.545210771,0.61512979,0.689125933,0.767178782,0.849268055,0.935373604,1.025475416,1.119553612
0.536224963,0.589028453,0.643432532,0.699391579,0.756861691,0.815800602,0.876167608,0.937923495,1.001030471,1.065452103,1.131153258
0.735807522,0.781300162,0.8258708,0.869541037,0.912331803,0.954263385,0.995355451,1.035627073,1.075096749,1.113782427,1.151701521
1.011683916,1.033260965,1.053049872,1.071291728,1.088186149,1.103899824,1.118573037,1.132324695,1.145256252,1.157454796,1.168995508
0.803881862,0.845701083,0.886541392,0.926502928,0.965672624,1.004126309,1.041930434,1.07914347,1.115817076,1.151997062,1.187724194
0.832185731,0.8695979,0.906168581,0.942008833,0.977210991,1.01185246,1.045998609,1.079705027,1.113019285,1.14598233,1.1786296
1.023126827,1.042084648,1.061042469,1.080000291,1.098958112,1.117915934,1.136873755,1.155831577,1.174789398,1.193747219,1.212705041
1.055086477,1.070911513,1.086619576,1.102211523,1.117688202,1.133050453,1.148299108,1.16343499,1.178458915,1.193371692,1.20817412
0.822576725,0.856379412,0.890926675,0.926222616,0.962271365,0.999077082,1.036643958,1.074976216,1.11407811,1.153953924,1.194607976
0.96390497,0.987043948,1.010250079,1.033521048,1.056854647,1.080248766,1.103701388,1.127210587,1.150774518,1.174391418,1.198059596
1.704770234,1.636842447,1.573236268,1.513462739,1.457103984,1.403800744,1.353242448,1.305159237,1.259315501,1.215504616,1.173544619
2.515409731,2.304327279,2.120443738,1.9584425,1.814307854,1.684950033,1.567952882,1.46139977,1.36375085,1.2737548,1.190384276
2.81505481,2.550782817,2.321028857,2.11888874,1.939184457,1.777956449,1.632125119,1.49925925,1.377413898,1.26501461,1.160773211
1.805175975,1.72387815,1.645907266,1.570952854,1.498741913,1.429033418,1.361613777,1.296293029,1.232901673,1.171287977,1.111315714
1.436869213,1.411679971,1.38439762,1.355009764,1.323503906,1.289867451,1.254087706,1.216151874,1.176047056,1.133760253,1.089278359
1.312174954,1.295066551,1.276604617,1.256796532,1.235649622,1.213171162,1.189368372,1.164248421,1.137818426,1.110085452,1.081056516
1.37675285,1.345752797,1.314721649,1.283661021,1.252572414,1.221457232,1.190316786,1.159152302,1.127964927,1.096755737,1.065525742
1.586554058,1.530396943,1.475080534,1.420548869,1.366750841,1.313639691,1.261172549,1.209310039,1.158015932,1.107256837,1.057001927
1.528036381,1.476288416,1.42454045,1.372792485,1.321044519,1.269296554,1.217548588,1.165800623,1.114052658,1.062304692,1.010556727
1.651195421,1.583346933,1.516311336,1.450091118,1.384688773,1.320106808,1.256347738,1.193414091,1.131308403,1.070033221,1.009591104
1.897693679,1.788082916,1.683357184,1.583236217,1.487460789,1.395790771,1.308003408,1.223891773,1.143263386,1.065938977,0.991751369
1.818556176,1.721596264,1.628260083,1.538368478,1.451753913,1.368259544,1.287738378,1.210052512,1.135072442,1.062676434,0.992749946
1.243624029,1.223979317,1.203532874,1.182241012,1.160056814,1.136929823,1.112805707,1.087625876,1.061327058,1.033840824,1.005093047
0.986127964,0.990201888,0.993772697,0.996794722,0.999216596,1.000980333,1.002020228,1.002261531,1.001618829,0.999994082,0.997274194
0.890041012,0.90024742,0.910665664,0.921321566,0.932245324,0.943472478,0.955045145,0.967013618,0.979438445,0.992393193,1.005968134
0.89104799,0.907793087,0.924163552,0.940122007,0.955625925,0.970626724,0.985068638,0.998887345,1.012008259,1.024344398,1.035793694
0.850177147,0.865571821,0.881305679,0.897421453,0.91396937,0.931008867,0.948610805,0.966860353,0.985860788,1.005738581,1.026650294
0.940002495,0.947933895,0.955459343,0.962539833,0.969131191,0.9751832,0.980638524,0.985431401,0.989486037,0.992714617,0.995014823
1.005885471,1.013219056,1.019558619,1.02483119,1.028956483,1.031845946,1.033401672,1.033515136,1.032065708,1.028918918,1.023924418
0.989161394,0.994633327,0.999810217,1.004662422,1.009156192,1.013252931,1.016908299,1.020071094,1.022681877,1.024671245,1.025957653
0.970980836,0.981252292,0.991523747,1.001795202,1.012066658,1.022338113,1.032609568,1.042881023,1.053152479,1.063423934,1.073695389
0.828784232,0.84934846,0.870365486,0.891847141,0.913805668,0.936253748,0.959204514,0.982671571,1.006669022,1.031211488,1.056314132
0.827340109,0.848944931,0.870948578,0.893357057,0.916176497,0.939413148,0.963073391,0.987163736,1.011690826,1.036661444,1.062082513
0.803678182,0.826979006,0.850684322,0.874797985,0.899323897,0.92426601,0.949628326,0.975414899,1.001629838,1.0282773,1.055361501
0.898598996,0.912382734,0.926246063,0.940188707,0.954210392,0.968310846,0.982489798,0.996746977,1.011082115,1.025494945,1.039985199
1.009662883,1.011116248,1.012568185,1.014018738,1.015467947,1.016915854,1.018362496,1.019807912,1.021252136,1.022695203,1.024137146
1.071761314,1.068934549,1.066064444,1.063152138,1.060198732,1.057205288,1.054172832,1.051102356,1.047994818,1.044851143,1.041672228
1.311152357,1.280994639,1.251840225,1.223625374,1.196291632,1.169785295,1.144056938,1.119060995,1.094755389,1.071101207,1.048062406
1.270252213,1.247137506,1.224297893,1.201721912,1.17939873,1.1573181,1.135470319,1.113846198,1.092437023,1.071234527,1.050230862
1.326592764,1.300553646,1.274723559,1.249094491,1.223658836,1.198409366,1.173339208,1.148441825,1.123710992,1.099140781,1.074725541
1.460939623,1.417010315,1.374015837,1.331906198,1.290634911,1.250158685,1.210437163,1.171432672,1.133110006,1.095436228,1.058380485
1.388320089,1.354795844,1.321133685,1.28733728,1.253410166,1.219355759,1.185177358,1.150878146,1.116461199,1.081929492,1.047285896
1.433764629,1.394293143,1.354821658,1.315350172,1.275878686,1.236407201,1.196935715,1.157464229,1.117992744,1.078521258,1.039049772
1.619209611,1.556167549,1.494365446,1.433783249,1.374401339,1.316200511,1.259161972,1.203267322,1.148498549,1.094838018,1.042268458
1.726527127,1.648945642,1.573657782,1.50059447,1.429689373,1.360878771,1.294101429,1.229298473,1.166413283,1.105391383,1.046180338
1.838313966,1.743885731,1.653180179,1.566036811,1.482304222,1.401839468,1.324507483,1.250180541,1.17873777,1.110064691,1.044052807
1.55980621,1.504536187,1.450103254,1.396492922,1.34369103,1.291683742,1.240457538,1.189999199,1.140295806,1.091334727,1.043103609
1.58018604,1.523851288,1.468276915,1.41345983,1.359396959,1.306085245,1.253521648,1.201703142,1.150626721,1.100289392,1.05068818
1.504092078,1.454309126,1.404931585,1.355964619,1.307413476,1.259283497,1.211580113,1.164308851,1.117475331,1.071085272,1.025144495
1.472764597,1.426073411,1.379591297,1.333325635,1.287284157,1.241474967,1.195906566,1.150587872,1.105528252,1.060737545,1.016226097
1.443895668,1.40122441,1.358634392,1.316129281,1.273712968,1.231389586,1.189163526,1.147039463,1.105022375,1.063117569,1.02133071
1.41221894,1.373875306,1.335519689,1.297151446,1.258769883,1.220374261,1.181963778,1.143537576,1.105094726,1.066634225,1.028154988
1.41195686,1.372696306,1.333440264,1.294189053,1.254943027,1.215702572,1.176468116,1.13724013,1.098019136,1.058805716,1.019600514
1.376094558,1.341971986,1.307833424,1.273677543,1.239502864,1.205307734,1.171090299,1.136848476,1.102579913,1.068281945,1.033951543
1.320092249,1.289667759,1.25924327,1.22881878,1.19839429,1.167969801,1.137545311,1.107120821,1.076696332,1.046271842,1.015847353
1.276333982,1.249749251,1.223066281,1.196283177,1.169397992,1.142408732,1.115313347,1.088109735,1.060795738,1.033369139,1.005827663
1.272214359,1.2453251,1.2183584,1.19131242,1.164185264,1.136974971,1.109679521,1.082296823,1.054824722,1.027260988,0.999603317
1.21196387,1.187908565,1.163746492,1.139474396,1.115088888,1.09058644,1.065963374,1.041215857,1.016339894,0.991331313,0.966185763
1.195941583,1.173504807,1.150849321,1.127973605,1.104876122,1.081555323,1.058009642,1.0342375,1.010237303,0.986007443,0.961546294
1.123552494,1.108865248,1.093804625,1.078362615,1.062530976,1.046301227,1.029664639,1.012612225,0.995134734,0.977222636,0.958866115
1.040078608,1.034958392,1.029320291,1.023148464,1.016426419,1.009136976,1.001262234,0.992783528,0.983681393,0.973935518,0.963524701
1.073835418,1.064428293,1.05477999,1.044878664,1.034711676,1.024265536,1.013525821,1.002477099,0.991102837,0.9793853,0.967305442
1.014009914,1.010581881,1.006875165,1.002875304,0.998566817,0.993933113,0.98895639,0.983617524,0.97789594,0.971769477,0.965214228
0.863097868,0.875632627,0.887726116,0.899355178,0.910495006,0.921118995,0.931198574,0.940703023,0.949599266,0.957851643,0.965421648
0.722438949,0.747111335,0.771728573,0.796286688,0.820781308,0.845207624,0.869560326,0.893833539,0.918020747,0.942114701,0.966107314
0.655641013,0.687094528,0.71852632,0.749934791,0.781318185,0.812674561,0.844001776,0.875297453,0.90655895,0.937783319,0.968967266
0.631723165,0.667287921,0.702852677,0.738417433,0.773982189,0.809546945,0.845111701,0.880676457,0.916241213,0.951805969,0.987370725
0.630417251,0.668176719,0.706197507,0.744482834,0.783035971,0.821860246,0.860959039,0.900335788,0.939993988,0.979937194,1.020169021
0.664978674,0.701946955,0.738859491,0.775715297,0.812513363,0.849252657,0.885932121,0.922550671,0.959107199,0.995600567,1.032029611
0.507045984,0.552292135,0.599554447,0.648873763,0.700292036,0.753852371,0.809599058,0.867577618,0.927834846,0.990418851,1.055379109
0.631472912,0.673056871,0.715257693,0.758071564,0.801494698,0.845523345,0.890153781,0.935382316,0.981205288,1.027619067,1.074620049
0.620755313,0.663584049,0.707201145,0.751599249,0.796771102,0.842709535,0.889407466,0.9368579,0.985053929,1.033988727,1.083655553
0.817323471,0.849938757,0.881361074,0.911620005,0.940744159,0.968761217,0.995697966,1.021580337,1.046433436,1.070281578,1.093148321
0.800570827,0.835226896,0.868746174,0.901124511,0.932357739,0.962441667,0.991372085,1.019144762,1.045755445,1.071199863,1.095473722
0.822189688,0.855721387,0.887982893,0.918986858,0.948745769,0.977271947,1.00457755,1.030674578,1.055574873,1.079290124,1.101831869
0.978948979,0.999491965,1.017830822,1.03409733,1.048412969,1.060889904,1.071631866,1.080734926,1.088288191,1.094374421,1.099070591
1.178013671,1.180279905,1.180109785,1.177733684,1.173353822,1.167148431,1.159275217,1.149874228,1.139070258,1.12697487,1.113688107
1.245900574,1.235204589,1.223379102,1.210566824,1.196887395,1.182441866,1.167316175,1.15158387,1.135308261,1.118544149,1.1013392
1.348835775,1.323217654,1.297599533,1.271981412,1.246363291,1.220745169,1.195127048,1.169508927,1.143890806,1.118272685,1.092654564
1.22188049,1.208508197,1.194767913,1.180658903,1.166180431,1.151331761,1.136112152,1.120520862,1.104557148,1.088220264,1.071509463
1.189490788,1.179590011,1.169360577,1.158795995,1.147889606,1.136634569,1.125023862,1.113050272,1.100706392,1.087984608,1.0748771
1.371247133,1.341395043,1.311863886,1.282631808,1.253678897,1.224986968,1.196539383,1.168320888,1.140317475,1.112516252,1.08490534
1.211866596,1.201919119,1.191186312,1.179693568,1.167465197,1.154524482,1.140893736,1.126594348,1.111646832,1.096070872,1.079885363
1.335611772,1.309971662,1.284350028,1.258746066,1.233159016,1.207588161,1.182032825,1.156492368,1.130966186,1.105453706,1.079954385
1.002857179,1.013214911,1.022853898,1.031758326,1.039911917,1.047297907,1.053899028,1.059697493,1.06467497,1.068812568,1.072090809
1.03655333,1.041872197,1.046903937,1.051636418,1.056056815,1.060151559,1.063906285,1.06730577,1.070333865,1.072973432,1.075206259
0.991799339,1.000585651,1.008933427,1.016827162,1.024250611,1.031186746,1.037617704,1.043524742,1.048888174,1.053687319,1.057900432
1.114592634,1.104811913,1.094887004,1.084812084,1.074581009,1.064187295,1.053624096,1.042884175,1.031959878,1.0208431,1.009525258
1.021606482,1.022741336,1.023852919,1.024939868,1.02600071,1.027033851,1.028037567,1.029009988,1.029949079,1.030852628,1.03171822
1.008477993,1.012283595,1.015953085,1.019479522,1.02285548,1.026073013,1.029123605,1.031998118,1.034686736,1.037178897,1.039463227
0.99577627,1.000723029,1.005669787,1.010616545,1.015563304,1.020510062,1.02545682,1.030403579,1.035350337,1.040297095,1.045243854
1.039289449,1.04009137,1.040915248,1.041760597,1.042626945,1.043513835,1.044420823,1.045347478,1.046293379,1.047258119,1.048241303
0.999154255,1.002101125,1.005045543,1.00798754,1.010927148,1.013864397,1.016799317,1.019731938,1.022662288,1.025590397,1.028516291
1.167929532,1.15133532,1.135445781,1.1202183,1.10561363,1.091595565,1.078130652,1.065187935,1.052738725,1.040756396,1.029216207
1.159875961,1.142809578,1.126495056,1.11088534,1.095937222,1.081610956,1.067869916,1.054680298,1.042010852,1.029832645,1.01811885
0.8332995,0.849623584,0.865711874,0.881574514,0.897221074,0.912660588,0.927901597,0.942952175,0.957819966,0.972512211,0.987035771
0.952626109,0.957154002,0.961688722,0.966229838,0.970776955,0.975329707,0.97988776,0.984450805,0.989018556,0.993590749,0.998167139
0.893423831,0.904556553,0.915613913,0.926598264,0.937511864,0.948356876,0.959135377,0.969849363,0.980500748,0.991091372,1.001623005
0.988765682,0.991804821,0.994886221,0.998007866,1.001167868,1.004364455,1.007595963,1.010860825,1.01415757,1.01748481,1.020841236
0.876113075,0.895098281,0.914306884,0.933740685,0.953401501,0.973291171,0.993411551,1.01376452,1.034351977,1.055175841,1.076238051
0.917899429,0.929865089,0.941879382,0.953942066,0.966052904,0.978211657,0.99041809,1.002671969,1.01497306,1.027321133,1.039715957
0.925738187,0.937042583,0.948324788,0.959585238,0.970824355,0.982042551,0.993240227,1.004417776,1.015575577,1.026714004,1.037833419
0.895812973,0.908462866,0.921112758,0.933762651,0.946412543,0.959062436,0.971712328,0.98436222,0.997012113,1.009662005,1.022311898
0.877726021,0.891481048,0.905264842,0.919077117,0.932917594,0.946785995,0.960682046,0.974605478,0.988556025,1.002533424,1.016537414
0.867202559,0.881791572,0.896434799,0.911131862,0.925882389,0.940686009,0.955542356,0.970451066,0.98541178,1.00042414,1.015487793
0.856587591,0.871297062,0.88606894,0.900902857,0.915798451,0.930755362,0.945773232,0.960851706,0.975990434,0.991189064,1.006447252
0.800462011,0.819836311,0.839398984,0.859148776,0.879084443,0.899204755,0.919508491,0.93999444,0.960661403,0.98150819,1.002533624
1.049734116,1.044461128,1.039772807,1.035621245,1.03196363,1.028761586,1.025980609,1.023589596,1.021560433,1.019867645,1.018488094
1.013522961,1.010328527,1.007403779,1.00473182,1.002297137,1.000085458,0.998083637,0.996279538,0.994661944,0.993220473,0.991945495
1.029495835,1.0243985,1.019456607,1.014662073,1.010007368,1.005485465,1.0010898,0.996814234,0.992653022,0.988600778,0.984652448
0.982311861,0.980840006,0.979387181,0.977952579,0.976535436,0.975135034,0.973750689,0.972381759,0.971027631,0.969687727,0.968361498
0.951012407,0.951037148,0.951056524,0.951070748,0.951080026,0.951084549,0.951084502,0.951080057,0.951071381,0.951058629,0.951041952
0.841408664,0.851079767,0.860731957,0.870365769,0.879981717,0.889580298,0.899161988,0.908727249,0.918276523,0.927810238,0.937328808
0.838707284,0.846603009,0.854497122,0.862389688,0.870280767,0.878170418,0.886058696,0.893945653,0.901831338,0.909715798,0.91759908
0.804367046,0.815348392,0.826329739,0.837311086,0.848292432,0.859273779,0.870255125,0.881236472,0.892217818,0.903199165,0.914180512
0.846079133,0.852750786,0.859338637,0.86584389,0.872267726,0.878611307,0.884875768,0.891062227,0.897171778,0.903205497,0.909164437
0.832350791,0.840270618,0.848132274,0.855936619,0.863684498,0.871376738,0.879014149,0.886597527,0.894127652,0.901605289,0.909031189
0.768349549,0.781328405,0.794349432,0.807412009,0.820515529,0.833659393,0.846843017,0.860065826,0.873327258,0.88662676,0.89996379
0.786319042,0.797646923,0.808976464,0.820307608,0.831640297,0.842974479,0.854310103,0.86564712,0.876985484,0.88832515,0.899666076
0.8291835,0.835910249,0.842607334,0.849275644,0.855916034,0.862529326,0.869116308,0.875677741,0.882214353,0.888726849,0.895215903
0.817890793,0.827228613,0.836535056,0.845810573,0.855055607,0.864270592,0.873455956,0.882612116,0.891739483,0.90083846,0.909909442
0.79430807,0.805294821,0.816285669,0.827280624,0.838279697,0.849282898,0.860290239,0.87130173,0.882317382,0.893337207,0.904361214
0.812546813,0.822597568,0.832618427,0.842609311,0.852570143,0.862500846,0.87240134,0.882271548,0.89211139,0.901920789,0.911699663
0.853134951,0.860523479,0.867795744,0.874951683,0.881991231,0.888914328,0.895720909,0.902410913,0.908984275,0.915440934,0.921780825
0.976120106,0.971704273,0.96706169,0.962197074,0.957115014,0.951819972,0.946316288,0.940608187,0.93469978,0.928595068,0.922297946
1.003088507,0.996791783,0.990322714,0.98368593,0.976885896,0.969926921,0.962813164,0.955548639,0.948137222,0.94058266,0.93288857
1.103645652,1.086772981,1.069900311,1.05302764,1.03615497,1.019282299,1.002409628,0.985536958,0.968664287,0.951791617,0.934918946
1.181256232,1.156626314,1.132189352,1.107945841,1.083896279,1.060041165,1.036380999,1.012916286,0.989647528,0.966575233,0.943699907
1.278412804,1.243229401,1.208559355,1.174401279,1.140753791,1.107615514,1.074985076,1.04286111,1.011242254,0.980127151,0.949514448
1.434895077,1.379160347,1.325011448,1.27241034,1.221320191,1.171705328,1.123531191,1.076764293,1.031372176,0.987323371,0.944587366
1.491940081,1.427113276,1.364635571,1.30441911,1.246380362,1.190439862,1.136521965,1.084554617,1.034469147,0.986200073,0.939684912
1.46789914,1.409853113,1.35324526,1.298055206,1.24426296,1.191848905,1.140793789,1.091078718,1.042685145,0.995594866,0.949790007
1.468186372,1.410995165,1.355063351,1.300380989,1.246938238,1.194725364,1.143732732,1.093950808,1.045370159,0.997981447,0.951775431
1.361648766,1.319070207,1.277137695,1.235852574,1.195216189,1.155229891,1.115895034,1.077212976,1.03918508,1.001812709,0.965097234
1.378819243,1.335747617,1.29326645,1.251379529,1.210090675,1.169403744,1.129322621,1.089851227,1.050993518,1.012753482,0.975135143
1.367297893,1.32586955,1.284870162,1.244306397,1.204185065,1.164513115,1.125297647,1.086545906,1.048265295,1.010463375,0.973147867
1.282005424,1.25183008,1.221749456,1.191766776,1.161885414,1.132108898,1.102440926,1.072885367,1.043446279,1.014127918,0.984934749
1.207873428,1.185986212,1.164131998,1.142311874,1.120526976,1.098778491,1.077067662,1.055395787,1.033764225,1.012174399,0.9906278
1.22289558,1.200461747,1.178027915,1.155594082,1.133160249,1.110726417,1.088292584,1.065858751,1.043424919,1.020991086,0.998557253
